threshold,decline_precision,decline_recall,decline_f1,flagged_pct,tp,fp,fn,tn,net_utility
0.05,0.3175458442486306,0.9770999358798204,0.4793187894583117,0.6854530985369437,10667,22925,250,15165,37486
0.1,0.3823584237408194,0.9394522304662452,0.5435082140964494,0.5473299732691248,10256,16567,661,21523,43626
0.2,0.4777644544080079,0.8394247503893011,0.6089441158880988,0.3913930662966515,9164,10017,1753,28073,39254
0.3,0.5651393277793737,0.720802418246771,0.6335493740187593,0.2841226763523578,7869,6055,3048,32035,26458
0.5,0.717391304347826,0.4776037372904644,0.5734396480615892,0.1483053441345114,5214,2054,5703,36036,-8020
0.7,0.8443830570902394,0.2519923055784556,0.3881481481481481,0.066480298732834,2751,507,8166,37583,-44334
0.9,0.9611829944547134,0.0476321333699734,0.0907662768371443,0.0110392392923459,520,21,10397,38069,-79058
