dropped_sigungu,external_metric,pearson,spearman,n
강남구,living_population_change,0.8566850256732279,0.7799999999999999,24
강남구,permit_closure_rate_mean,-0.4584621573737936,-0.25652173913043474,24
강남구,permit_closure_rate_median,-0.5925844453914081,-0.3104347826086956,24
강동구,living_population_change,0.8653978985495847,0.8330434782608694,24
강동구,permit_closure_rate_mean,-0.4083021974990884,-0.20173913043478262,24
강동구,permit_closure_rate_median,-0.5204411710434531,-0.22347826086956518,24
강북구,living_population_change,0.8456060386704979,0.7799999999999999,24
강북구,permit_closure_rate_mean,-0.4057725118437578,-0.19391304347826085,24
강북구,permit_closure_rate_median,-0.5670064282013829,-0.308695652173913,24
강서구,living_population_change,0.8618352440767634,0.8217391304347826,24
강서구,permit_closure_rate_mean,-0.42110740691942383,-0.23565217391304347,24
강서구,permit_closure_rate_median,-0.5241105251065019,-0.23391304347826083,24
관악구,living_population_change,0.8527783664883042,0.8156521739130433,24
관악구,permit_closure_rate_mean,-0.42141414270078836,-0.23391304347826083,24
관악구,permit_closure_rate_median,-0.532209330458078,-0.23826086956521736,24
광진구,living_population_change,0.8565398012466278,0.8095652173913043,24
광진구,permit_closure_rate_mean,-0.4336744316331951,-0.2417391304347826,24
광진구,permit_closure_rate_median,-0.5515613384661997,-0.25999999999999995,24
구로구,living_population_change,0.8669001830093308,0.8321739130434782,24
구로구,permit_closure_rate_mean,-0.4144623906177539,-0.21565217391304345,24
구로구,permit_closure_rate_median,-0.5212926983001158,-0.22869565217391302,24
금천구,living_population_change,0.8661061591683364,0.8130434782608694,24
금천구,permit_closure_rate_mean,-0.44618673834464107,-0.2678260869565217,24
금천구,permit_closure_rate_median,-0.5554312688119454,-0.2860869565217391,24
노원구,living_population_change,0.8526525288663593,0.8113043478260868,24
노원구,permit_closure_rate_mean,-0.4648105159809422,-0.2678260869565217,24
노원구,permit_closure_rate_median,-0.5464024803775063,-0.2669565217391304,24
도봉구,living_population_change,0.8474252665849232,0.7817391304347826,24
도봉구,permit_closure_rate_mean,-0.4249687065003946,-0.2495652173913043,24
도봉구,permit_closure_rate_median,-0.5447742597012576,-0.2826086956521739,24
동대문구,living_population_change,0.8527790602238539,0.8182608695652173,24
동대문구,permit_closure_rate_mean,-0.4439505681186665,-0.2417391304347826,24
동대문구,permit_closure_rate_median,-0.544490542993582,-0.2226086956521739,24
동작구,living_population_change,0.8655644643425141,0.8173913043478259,24
동작구,permit_closure_rate_mean,-0.43216991004100436,-0.24086956521739128,24
동작구,permit_closure_rate_median,-0.5355773286436346,-0.22,24
마포구,living_population_change,0.850720134238684,0.7782608695652173,24
마포구,permit_closure_rate_mean,-0.4736538970189732,-0.27043478260869563,24
마포구,permit_closure_rate_median,-0.5669401806143067,-0.2669565217391304,24
서대문구,living_population_change,0.8561008438622593,0.8095652173913043,24
서대문구,permit_closure_rate_mean,-0.45539610867770125,-0.2965217391304348,24
서대문구,permit_closure_rate_median,-0.5456529863863259,-0.25913043478260867,24
서초구,living_population_change,0.8529084949476755,0.7782608695652173,24
서초구,permit_closure_rate_mean,-0.485478771605837,-0.33304347826086955,24
서초구,permit_closure_rate_median,-0.5403042336895184,-0.25565217391304346,24
성동구,living_population_change,0.8540868664612841,0.8017391304347825,24
성동구,permit_closure_rate_mean,-0.4377045899625216,-0.26086956521739124,24
성동구,permit_closure_rate_median,-0.54264525185128,-0.25913043478260867,24
성북구,living_population_change,0.8630773934533279,0.8173913043478259,24
성북구,permit_closure_rate_mean,-0.4332100109775249,-0.2417391304347826,24
성북구,permit_closure_rate_median,-0.5342162556541722,-0.23217391304347823,24
송파구,living_population_change,0.859806298742706,0.8217391304347826,24
송파구,permit_closure_rate_mean,-0.4286683731650964,-0.24434782608695652,24
송파구,permit_closure_rate_median,-0.5266491678389232,-0.23217391304347823,24
양천구,living_population_change,0.846068220975143,0.786086956521739,24
양천구,permit_closure_rate_mean,-0.4045492535571857,-0.19391304347826085,24
양천구,permit_closure_rate_median,-0.5077200609652212,-0.19043478260869565,24
영등포구,living_population_change,0.858532925476226,0.7817391304347826,24
영등포구,permit_closure_rate_mean,-0.4181309035303869,-0.20956521739130432,24
영등포구,permit_closure_rate_median,-0.5241178487530659,-0.1973913043478261,24
용산구,living_population_change,0.8483924932296137,0.7808695652173911,24
용산구,permit_closure_rate_mean,-0.3953974914707345,-0.14782608695652172,24
용산구,permit_closure_rate_median,-0.5171568718892842,-0.1695652173913043,24
은평구,living_population_change,0.8488839894331838,0.797391304347826,24
은평구,permit_closure_rate_mean,-0.4393029297957241,-0.25652173913043474,24
은평구,permit_closure_rate_median,-0.5324397793181003,-0.26608695652173914,24
종로구,living_population_change,0.8400027784853279,0.7791304347826087,24
종로구,permit_closure_rate_mean,-0.14890902700635136,-0.1417391304347826,24
종로구,permit_closure_rate_median,-0.3282197000502128,-0.1434782608695652,24
중구,living_population_change,0.8095453716036519,0.7773913043478261,24
중구,permit_closure_rate_mean,-0.45778394346940887,-0.20608695652173914,24
중구,permit_closure_rate_median,-0.441316672684411,-0.1434782608695652,24
중랑구,living_population_change,0.8488791825890915,0.7930434782608695,24
중랑구,permit_closure_rate_mean,-0.5258598018858139,-0.36260869565217385,24
중랑구,permit_closure_rate_median,-0.6157734415116889,-0.35130434782608694,24
