spec_id,base_year,start_month,window_weeks,lag_years,outcome_3,n,share
y2021_m02_w30_lag2y,2021,2,30,2,Growth,2129,0.07444316234833386
y2021_m02_w30_lag2y,2021,2,30,2,Stable,13818,0.48316374698416026
y2021_m02_w30_lag2y,2021,2,30,2,Decline,12652,0.4423930906675059
y2021_m03_w04_lag1y,2021,3,4,1,Growth,9361,0.2744758833015687
y2021_m03_w04_lag1y,2021,3,4,1,Stable,21209,0.6218736255680986
y2021_m03_w04_lag1y,2021,3,4,1,Decline,3535,0.1036504911303328
y2021_m03_w08_lag1y,2021,3,8,1,Growth,18011,0.5321770476303037
y2021_m03_w08_lag1y,2021,3,8,1,Stable,13621,0.40246424772485523
y2021_m03_w08_lag1y,2021,3,8,1,Decline,2212,0.06535870464484103
y2021_m03_w12_lag1y,2021,3,12,1,Growth,18134,0.5442703643676091
y2021_m03_w12_lag1y,2021,3,12,1,Stable,13058,0.39192028333033196
y2021_m03_w12_lag1y,2021,3,12,1,Decline,2126,0.06380935230205895
y2021_m03_w16_lag1y,2021,3,16,1,Growth,16037,0.48063897380567044
y2021_m03_w16_lag1y,2021,3,16,1,Stable,14674,0.4397890067733621
y2021_m03_w16_lag1y,2021,3,16,1,Decline,2655,0.07957201942096745
y2021_m03_w20_lag1y,2021,3,20,1,Growth,14081,0.41880316459461064
y2021_m03_w20_lag1y,2021,3,20,1,Stable,16110,0.4791505561834513
y2021_m03_w20_lag1y,2021,3,20,1,Decline,3431,0.10204627922193801
y2021_m03_w30_lag1y,2021,3,30,1,Growth,9081,0.27288298575635556
y2021_m03_w30_lag1y,2021,3,30,1,Stable,19413,0.5833583749023379
y2021_m03_w30_lag1y,2021,3,30,1,Decline,4784,0.14375863934130656
y2021_m03_w04_lag2y,2021,3,4,2,Growth,5825,0.19493992838258425
y2021_m03_w04_lag2y,2021,3,4,2,Stable,20470,0.6850507011144206
y2021_m03_w04_lag2y,2021,3,4,2,Decline,3586,0.12000937050299522
y2021_m03_w08_lag2y,2021,3,8,2,Growth,4445,0.1505095994311448
y2021_m03_w08_lag2y,2021,3,8,2,Stable,20338,0.6886533708055396
y2021_m03_w08_lag2y,2021,3,8,2,Decline,4750,0.16083702976331563
y2021_m03_w12_lag2y,2021,3,12,2,Growth,4074,0.14071080717024143
y2021_m03_w12_lag2y,2021,3,12,2,Stable,18891,0.6524712465029531
y2021_m03_w12_lag2y,2021,3,12,2,Decline,5988,0.2068179463268055
y2021_m03_w16_lag2y,2021,3,16,2,Growth,4096,0.1416173979186115
y2021_m03_w16_lag2y,2021,3,16,2,Stable,17703,0.6120734363655222
y2021_m03_w16_lag2y,2021,3,16,2,Decline,7124,0.24630916571586625
y2021_m03_w20_lag2y,2021,3,20,2,Growth,3544,0.12202596150535414
y2021_m03_w20_lag2y,2021,3,20,2,Stable,17644,0.6075129979685294
y2021_m03_w20_lag2y,2021,3,20,2,Decline,7855,0.27046104052611647
y2021_m04_w04_lag1y,2021,4,4,1,Growth,9084,0.2665258339934865
y2021_m04_w04_lag1y,2021,4,4,1,Stable,21535,0.6318399201948185
y2021_m04_w04_lag1y,2021,4,4,1,Decline,3464,0.10163424581169497
y2021_m04_w08_lag1y,2021,4,8,1,Growth,10398,0.3065357742991067
y2021_m04_w08_lag1y,2021,4,8,1,Stable,20282,0.5979186934347455
y2021_m04_w08_lag1y,2021,4,8,1,Decline,3241,0.09554553226614781
y2021_m04_w12_lag1y,2021,4,12,1,Growth,8643,0.2547753802617616
y2021_m04_w12_lag1y,2021,4,12,1,Stable,20541,0.6055005305978068
y2021_m04_w12_lag1y,2021,4,12,1,Decline,4740,0.13972408914043155
y2021_m04_w16_lag1y,2021,4,16,1,Growth,7450,0.2209109239710592
y2021_m04_w16_lag1y,2021,4,16,1,Stable,20091,0.5957478353694698
y2021_m04_w16_lag1y,2021,4,16,1,Decline,6183,0.183341240659471
y2021_m04_w20_lag1y,2021,4,20,1,Growth,4792,0.14182969781276822
y2021_m04_w20_lag1y,2021,4,20,1,Stable,20297,0.6007340101222364
y2021_m04_w20_lag1y,2021,4,20,1,Decline,8698,0.2574362920649954
y2021_m04_w30_lag1y,2021,4,30,1,Growth,4734,0.1409557838320679
y2021_m04_w30_lag1y,2021,4,30,1,Stable,21663,0.645020098258151
y2021_m04_w30_lag1y,2021,4,30,1,Decline,7188,0.21402411790978115
y2021_m04_w04_lag2y,2021,4,4,2,Growth,4634,0.15627423869422993
y2021_m04_w04_lag2y,2021,4,4,2,Stable,20827,0.7023572657066739
y2021_m04_w04_lag2y,2021,4,4,2,Decline,4192,0.1413684955990962
y2021_m04_w08_lag2y,2021,4,8,2,Growth,4538,0.15450088519678606
y2021_m04_w08_lag2y,2021,4,8,2,Stable,19276,0.6562712787688956
y2021_m04_w08_lag2y,2021,4,8,2,Decline,5558,0.1892278360343184
y2021_m04_w12_lag2y,2021,4,12,2,Growth,4322,0.14755889382041654
y2021_m04_w12_lag2y,2021,4,12,2,Stable,18400,0.6282007511095937
y2021_m04_w12_lag2y,2021,4,12,2,Decline,6568,0.22424035506998977
y2021_m04_w16_lag2y,2021,4,16,2,Growth,3706,0.12741525132366086
y2021_m04_w16_lag2y,2021,4,16,2,Stable,17865,0.6142130234477068
y2021_m04_w16_lag2y,2021,4,16,2,Decline,7515,0.25837172522863233
y2021_m04_w20_lag2y,2021,4,20,2,Growth,2941,0.10103404445360542
y2021_m04_w20_lag2y,2021,4,20,2,Stable,16924,0.5814009412896355
y2021_m04_w20_lag2y,2021,4,20,2,Decline,9244,0.3175650142567591
y2021_m05_w04_lag1y,2021,5,4,1,Growth,6991,0.20274346035612784
y2021_m05_w04_lag1y,2021,5,4,1,Stable,22159,0.6426251377530305
y2021_m05_w04_lag1y,2021,5,4,1,Decline,5332,0.1546314018908416
y2021_m05_w08_lag1y,2021,5,8,1,Growth,5097,0.1489131705036812
y2021_m05_w08_lag1y,2021,5,8,1,Stable,22183,0.6480951267967746
y2021_m05_w08_lag1y,2021,5,8,1,Decline,6948,0.20299170269954422
y2021_m05_w12_lag1y,2021,5,12,1,Growth,4841,0.14249970563993877
y2021_m05_w12_lag1y,2021,5,12,1,Stable,20935,0.6162427881785
y2021_m05_w12_lag1y,2021,5,12,1,Decline,8196,0.24125750618156128
y2021_m05_w16_lag1y,2021,5,16,1,Growth,3232,0.09618475090768407
y2021_m05_w16_lag1y,2021,5,16,1,Stable,19068,0.5674662222486757
y2021_m05_w16_lag1y,2021,5,16,1,Decline,11302,0.33634902684364026
y2021_m05_w20_lag1y,2021,5,20,1,Growth,2659,0.07871521610420366
y2021_m05_w20_lag1y,2021,5,20,1,Stable,18773,0.5557430432208408
y2021_m05_w20_lag1y,2021,5,20,1,Decline,12348,0.3655417406749556
y2021_m05_w30_lag1y,2021,5,30,1,Growth,5173,0.15291613704218274
y2021_m05_w30_lag1y,2021,5,30,1,Stable,20733,0.6128765260575246
y2021_m05_w30_lag1y,2021,5,30,1,Decline,7923,0.23420733690029266
y2021_m05_w04_lag2y,2021,5,4,2,Growth,6540,0.2193453179500939
y2021_m05_w04_lag2y,2021,5,4,2,Stable,18451,0.6188288167426885
y2021_m05_w04_lag2y,2021,5,4,2,Decline,4825,0.1618258653072176
y2021_m05_w08_lag2y,2021,5,8,2,Growth,5192,0.17596421066901646
y2021_m05_w08_lag2y,2021,5,8,2,Stable,18669,0.6327187690639192
y2021_m05_w08_lag2y,2021,5,8,2,Decline,5645,0.19131702026706432
y2021_m05_w12_lag2y,2021,5,12,2,Growth,4446,0.15203118588428396
y2021_m05_w12_lag2y,2021,5,12,2,Stable,17755,0.6071330871289837
y2021_m05_w12_lag2y,2021,5,12,2,Decline,7043,0.24083572698673233
y2021_m05_w16_lag2y,2021,5,16,2,Growth,2967,0.10255435346168469
y2021_m05_w16_lag2y,2021,5,16,2,Stable,17228,0.5954858110677128
y2021_m05_w16_lag2y,2021,5,16,2,Decline,8736,0.30195983547060246
y2021_m06_w04_lag1y,2021,6,4,1,Growth,6547,0.1887668310123115
y2021_m06_w04_lag1y,2021,6,4,1,Stable,22400,0.6458495516535478
y2021_m06_w04_lag1y,2021,6,4,1,Decline,5736,0.16538361733414064
y2021_m06_w08_lag1y,2021,6,8,1,Growth,4745,0.13938254560408894
y2021_m06_w08_lag1y,2021,6,8,1,Stable,21856,0.6420115735980966
y2021_m06_w08_lag1y,2021,6,8,1,Decline,7442,0.21860588079781454
y2021_m06_w12_lag1y,2021,6,12,1,Growth,3253,0.09653678368994273
y2021_m06_w12_lag1y,2021,6,12,1,Stable,20570,0.6104400985250913
y2021_m06_w12_lag1y,2021,6,12,1,Decline,9874,0.29302311778496604
y2021_m06_w16_lag1y,2021,6,16,1,Growth,3636,0.10790918533907108
y2021_m06_w16_lag1y,2021,6,16,1,Stable,20167,0.598516100311619
y2021_m06_w16_lag1y,2021,6,16,1,Decline,9892,0.29357471434931
y2021_m06_w20_lag1y,2021,6,20,1,Growth,5546,0.16307927546459658
y2021_m06_w20_lag1y,2021,6,20,1,Stable,21059,0.619236650199953
