classification__kcd_v3__depth_2_name,count,mean,median,std
패스트푸드,4044,35.192334322453014,29.3,28.352138197707347
분식,2398,30.605504587155963,21.8,26.724817390498025
분류정보없음,1591,29.082463859208044,19.8,26.34034283838801
카페,7603,25.259358148099437,19.7,21.512602663509423
베이커리/디저트,2391,22.44884985361773,12.7,22.869639979173872
양식,2310,21.537489177489174,11.4,23.22078034563464
중식,1973,21.349670552458186,13.4,22.44663100673834
일식,3249,21.1280701754386,13.1,21.978715633237066
