combo_id,description,delta_mean,t_stat,p_value
sy2021_sm01_w3m_off1,Jan-Mar 2021 → Jan-Mar 2022,0.0022919751418365108,2.734909794619851,0.05217829337717098
sy2021_sm03_w3m_off1,Mar-May 2021 → Mar-May 2022,0.0031968681322033453,1.3167698628725901,0.2582898146573824
sy2021_sm05_w3m_off1,May-Jul 2021 → May-Jul 2022,0.0007024032133881253,0.288422039984357,0.787352303669688
sy2021_sm09_w3m_off1,Sep-Nov 2021 → Sep-Nov 2022,0.0004806935368127263,0.30131170113858907,0.77819110633525
sy2022_sm01_w3m_off1,Jan-Mar 2022 → Jan-Mar 2023,0.0021087251958652577,1.0431519362625543,0.35577207872135413
sy2022_sm03_w3m_off1,Mar-May 2022 → Mar-May 2023,0.005534190384085447,3.470662851670634,0.02556818642566694
sy2022_sm05_w3m_off1,May-Jul 2022 → May-Jul 2023,0.001409948419914886,0.7198353252839714,0.5114426648313435
