combo_id,start_year,start_month,window_months,target_offset,model,macro_f1_mean,macro_f1_std,recall_Decline_mean,recall_Decline_std,recall_Stable_mean,recall_Stable_std,recall_Growth_mean,recall_Growth_std,f1_Decline_mean,f1_Decline_std,f1_Stable_mean,f1_Stable_std,f1_Growth_mean,f1_Growth_std,precision_Decline_mean,precision_Decline_std,precision_Stable_mean,precision_Stable_std,precision_Growth_mean,precision_Growth_std,n_stores
sy2021_sm01_w1m_off1,2021,1,1,1,lgb,0.5254348404113334,0.004458464059577979,0.7373231304334095,0.004833030787987947,0.2971894237561813,0.008137194568718436,0.6059367350770906,0.007951955345970978,0.6279598042390007,0.004284622379381636,0.32076545562473235,0.008583046407739115,0.627579261370267,0.006600778603872194,0.5468772740974013,0.005874183471395359,0.3485184633289604,0.011408884793967037,0.6508540688677156,0.006494506075823282,32701
sy2021_sm01_w1m_off1,2021,1,1,1,rf,0.5183439200189739,0.0038938312431534305,0.7741258182191445,0.00944825575446941,0.23376336426184158,0.01433618342859218,0.6428732563774104,0.013930183956458227,0.6254254565351796,0.006102453498038604,0.28072500399831857,0.010672292326510189,0.6488812995234234,0.006682318531161204,0.524658686713374,0.0048879261809495565,0.3522238035727413,0.012374979006286915,0.6552048930148029,0.007358851412876181,32701
sy2021_sm01_w1m_off2,2021,1,1,2,lgb,0.49406195282099963,0.005926674916496156,0.370878600860068,0.010134460659301993,0.40350151116216226,0.009595638861529586,0.7357840157978947,0.005600065084305289,0.295973973379698,0.007576107091176293,0.44366536421686503,0.008379464647038353,0.7425465208664359,0.004351114992519137,0.24629512232460188,0.007263896841478161,0.4927610606911255,0.007637399109388716,0.7494961602237113,0.008004036447811969,28736
sy2021_sm01_w1m_off2,2021,1,1,2,rf,0.4995720280933897,0.007431585679260621,0.4153944977238786,0.008853339840643279,0.3862139195077356,0.011868282168900469,0.7384363188744401,0.007531154820504542,0.31109539405528003,0.012196486771385651,0.4452311044382668,0.010497425816536126,0.7423895857866223,0.005622769192368,0.2487274652782116,0.012543963502888231,0.5256400644863406,0.008610284545044053,0.746413503005466,0.005654668418102174,28736
sy2021_sm01_w2m_off1,2021,1,2,1,lgb,0.4987783224389074,0.00595098063296937,0.5368656658065525,0.01983927539465206,0.34767609008145667,0.013465922654320723,0.6915742809960376,0.004512172540314021,0.41533757003740546,0.011957403393627445,0.3781376724953401,0.009869337823395958,0.7028597247839767,0.004516146813738233,0.33872273814448217,0.008760125890530733,0.414614527689083,0.0060599972407315615,0.7145534762047828,0.007141370767008464,33237
sy2021_sm01_w2m_off1,2021,1,2,1,rf,0.47999244507326333,0.0075902348762303,0.6394440534834624,0.014768392860111576,0.2740776233828462,0.012333050001182313,0.6828898596769923,0.007360308106385562,0.4131971823259815,0.008285581531704297,0.32701086641058524,0.011878285695307458,0.6997692864832233,0.00511196385514196,0.30524115249927286,0.006641140982878614,0.4056301201121008,0.01463628857627701,0.7175810599410175,0.007878316693457533,33237
sy2021_sm01_w2m_off2,2021,1,2,2,lgb,0.504791828012445,0.008043939577713738,0.30306814397723486,0.027472787562653353,0.5408195916298373,0.017075321079294197,0.7115535103290789,0.006364134439172186,0.2484265699023819,0.01695768988683125,0.530940519678101,0.011874667386452698,0.7350083944568524,0.002723838153280302,0.21063078117460457,0.011927361979537069,0.5215064603768356,0.008024449034183105,0.7601434934624123,0.0066186798254613995,29371
sy2021_sm01_w2m_off2,2021,1,2,2,rf,0.5044072407227558,0.0041320457568177656,0.400425332243514,0.019107071868129592,0.5395648537941741,0.010736249304218926,0.6738577002668673,0.010691419695815534,0.26631968457855193,0.011125162101835805,0.5287556870780262,0.005482701148447249,0.7181463505116893,0.006169936417857438,0.19951337121967205,0.007829123292689198,0.5184846147250951,0.0053872125166823746,0.7687579061002093,0.0034892742999097655,29371
sy2021_sm01_w3m_off1,2021,1,3,1,lgb,0.4995470683111834,0.0030336516597440884,0.3751919385796545,0.022073197444841843,0.4866980059047628,0.008966311186047762,0.6904376195085102,0.009401486834978389,0.2934493798434087,0.013440547992550895,0.5005757293207128,0.007659133655523272,0.7046160957694286,0.005379012341505274,0.24102617078621336,0.009683287235703383,0.5154796901319066,0.012982846940045843,0.71944930888872,0.003939660622702286,33998
sy2021_sm01_w3m_off1,2021,1,3,1,rf,0.49553286045245215,0.0021421550031765412,0.42626531817510704,0.011420546030142224,0.4473272572017285,0.007295703770030254,0.6955280025090465,0.004820254468376111,0.30189219436693293,0.006424862501136814,0.4813757594582234,0.004963808442126362,0.7033306275322004,0.003575924399914647,0.23371161049692982,0.004391108663724307,0.5211465000022052,0.007112584729174119,0.7113501328681129,0.006083731968772833,33998
sy2021_sm01_w3m_off2,2021,1,3,2,lgb,0.508728377613659,0.006233350364466878,0.34537673297166965,0.017825737287255852,0.5527750370840655,0.009872220772989463,0.6692332370869426,0.004351831878809916,0.29123724098512477,0.01264360267500466,0.5705721647991961,0.006784908243580573,0.6643757270566562,0.003253345207836277,0.25185923371400537,0.010636033782023194,0.5896023873516062,0.0043821221581230715,0.6596155153471,0.0050005493650344774,30190
sy2021_sm01_w3m_off2,2021,1,3,2,rf,0.4984779567415617,0.009308566847918287,0.44043399638336345,0.021883366947354214,0.4962759201782981,0.01928364974013833,0.6698107154315046,0.00471727334634917,0.29865843109286394,0.008770133881885604,0.5393514008965834,0.01583089867171166,0.6574240382352379,0.0052484010613509016,0.22614501984065266,0.007995334993595121,0.5907680753953279,0.011797999080844007,0.6455280679718676,0.008029756969470035,30190
sy2021_sm02_w1m_off1,2021,2,1,1,lgb,0.49724382241146625,0.005998246289685075,0.45971352963414125,0.018014102896315744,0.5486659720574532,0.0030556644460929144,0.5346645562074441,0.009734446748656814,0.3987625417558925,0.013619455651457437,0.6180242564999433,0.004430407759173068,0.474944668978563,0.005612317806020497,0.35210446570304116,0.010917755521712353,0.7075202036005888,0.00981253076691746,0.4272630199213639,0.004215239545262265,33267
sy2021_sm02_w1m_off1,2021,2,1,1,rf,0.47542806375658886,0.0028879286885393238,0.44630838141570284,0.01226666045087243,0.5250983867753343,0.004092073918685715,0.5088381078850419,0.007057620435011951,0.3629270424503014,0.0071647914996322976,0.6018423397786513,0.0016403896705042323,0.4615148090408138,0.0036695374244932184,0.30582394454989875,0.004897448644385984,0.7049501866363149,0.006965064914513282,0.42226847013931434,0.0021619796103795894,33267
sy2021_sm02_w1m_off2,2021,2,1,2,lgb,0.4536039543586628,0.006580816374077361,0.39629941126997476,0.01614933762525391,0.5732506643046944,0.014178905331305357,0.4259453935420322,0.016513540683737896,0.36208562790303805,0.013467574269084924,0.6354801570785984,0.007427441062175405,0.363246078094352,0.008309215808290867,0.3333806281326657,0.012460260857548885,0.7132000884905467,0.00807074743429251,0.3167717313296702,0.005711433090868761,29254
sy2021_sm02_w1m_off2,2021,2,1,2,rf,0.4386031476751677,0.004349777931802829,0.32716568544995794,0.01706094430201917,0.5894892235016238,0.012436504450861037,0.42484760057869303,0.013373984031229061,0.3099305813438489,0.011275290749779794,0.6444511739794142,0.005841551915539867,0.36142768770224,0.006955994583106044,0.29456379005324673,0.007734037883041902,0.710978465322739,0.00703712228581963,0.31458244566261095,0.005358285890140416,29254
sy2021_sm02_w2m_off1,2021,2,2,1,lgb,0.5031862872385255,0.005467062566600374,0.3561404897709484,0.01812777927929615,0.6057923211305237,0.00591528354379343,0.5890535397549862,0.00818226168055753,0.2828898977323747,0.011786725536349225,0.6500487502847705,0.0042440908942233254,0.5766202136984317,0.005903629366121684,0.23472296775383156,0.009491490839920796,0.7013004676920632,0.002740474458537192,0.564728921674402,0.005149136016699659,34260
sy2021_sm02_w2m_off1,2021,2,2,1,rf,0.4997483601086515,0.005476690750245309,0.3955917016031812,0.01603421202854012,0.6003206313463538,0.009871655413023796,0.5602797970233012,0.009297121927248943,0.2885916657741402,0.011286760011230502,0.6473219544966946,0.005373558456178166,0.5633314600551196,0.005961117320866325,0.22721240451115174,0.009591054382217634,0.7024139184779721,0.0031883226295290746,0.5665498566644998,0.008743383794003216,34260
sy2021_sm02_w2m_off2,2021,2,2,2,lgb,0.47397572972197316,0.005142339932341829,0.3620635757966512,0.01877913152017836,0.6364409591388269,0.0108681178239975,0.46847031518843246,0.01095556672736198,0.3083791291323284,0.011955597034049522,0.6908461498879357,0.008416753461482712,0.42270191014565517,0.011040775181267228,0.26880240571550085,0.011502949065598593,0.7554719310602895,0.005722339803780899,0.38515514703440135,0.0124179786366941,30347
sy2021_sm02_w2m_off2,2021,2,2,2,rf,0.47700995961420717,0.007672766968622683,0.38261448416187294,0.013427757577994115,0.6263656483427467,0.013610478628018079,0.47485057711264994,0.013161203588010206,0.3224057355525618,0.0098826226866134,0.6868450301459601,0.008924025594449705,0.4217791131440995,0.011467727927355007,0.2786973069368163,0.00997932940910364,0.7603995597116089,0.004360308864278297,0.37946810890172106,0.012007574251293701,30347
sy2021_sm02_w3m_off1,2021,2,3,1,lgb,0.5266388273482181,0.01095973697735897,0.3334817953818213,0.03792195153827764,0.6195288869241247,0.0077063128109200775,0.6862576246802915,0.006137481685543901,0.24834440847396574,0.023104789877560553,0.6310590647092865,0.007865346619358398,0.7005130088614022,0.005025236045819872,0.1982367412397598,0.018026451978011695,0.6430524850905546,0.00923765769689677,0.7153894585364359,0.005064588148308781,34691
sy2021_sm02_w3m_off1,2021,2,3,1,rf,0.5187930661496356,0.007315063388603362,0.4253250309896509,0.029051276508087306,0.5893337645382228,0.0075070198863464695,0.6633824137985196,0.0063204672989682405,0.25352038275836086,0.015160102192602807,0.6144817876025738,0.006205870027054402,0.6883770280879721,0.007237036461770491,0.18066373481342232,0.011057610923002616,0.6418949511519717,0.005815954345995783,0.7153524691372936,0.009433609197843836,34691
sy2021_sm02_w3m_off2,2021,2,3,2,lgb,0.48077136396055103,0.00789450566885691,0.3862356549946589,0.010596845960392934,0.6503518666713681,0.008917182134816168,0.4693536417607877,0.01912381361275581,0.32959422514394127,0.00877799767122359,0.7110745080755055,0.006550872904958292,0.4016453586622064,0.01148741336041285,0.2876713014719913,0.011789229852826062,0.784367016828545,0.00612733651590527,0.35106487631466105,0.0069526661486176535,30729
sy2021_sm02_w3m_off2,2021,2,3,2,rf,0.4828812313552743,0.007876220317297029,0.3835768676682445,0.010685295466087135,0.6441421834201022,0.009857667652633895,0.49105865069022103,0.012748646134036585,0.3308470398314116,0.009422092090434795,0.7099517104099747,0.007189976152020269,0.4078449438244366,0.007977102898255256,0.2911413058059537,0.013108388443651994,0.7908059451860002,0.005467924882127329,0.34878324773022207,0.006063761695544577,30729
sy2021_sm03_w1m_off1,2021,3,1,1,lgb,0.4665908609933325,0.00712749042678012,0.4891777942093283,0.03687160939085497,0.5691279667699422,0.006312603532857346,0.43228824819999384,0.010738120558850739,0.3263764845873972,0.014609206036065213,0.621980966768568,0.0042276445500898175,0.4514151316240323,0.0077413169166552056,0.24506417957284876,0.008110524490169958,0.6857220642082108,0.005926639184155297,0.4724617461634183,0.008786914448816182,34322
sy2021_sm03_w1m_off1,2021,3,1,1,rf,0.4536358906114388,0.003908428303759723,0.5515450973569368,0.015255230592733551,0.5660376543032019,0.009393757995892137,0.3678144898452567,0.006975439435012229,0.33840989435037694,0.005144847054268556,0.6178727656097497,0.007172321843216503,0.4046250118741897,0.006517637237469318,0.2441561563485221,0.004626521882611198,0.680215937454806,0.005728516590957289,0.4496676958828661,0.007261220713565874,34322
sy2021_sm03_w1m_off2,2021,3,1,2,lgb,0.446681301622904,0.009706636932398255,0.39892200191113236,0.018314777700939547,0.6247537083750162,0.012884371666976771,0.3543002910179843,0.011904495520928815,0.31741678832267584,0.011464106268651042,0.6664712379998566,0.01081479141275647,0.3561558785461795,0.008912678668023543,0.2636578306209385,0.009267330298788365,0.7141983974915763,0.008701104695182208,0.35834912013349346,0.01259946128513026,30071
sy2021_sm03_w1m_off2,2021,3,1,2,rf,0.45271046062743264,0.00876051393382288,0.43707621635610766,0.01216095705349194,0.6358817053499204,0.011991175257049595,0.3332504723717765,0.009629721454591395,0.33508209182818505,0.01098809155114946,0.6760818752205063,0.008814262502305456,0.34696741483360655,0.009139130056421195,0.2717323499500955,0.01044994366629155,0.7217897616670289,0.007144637315660978,0.36190939872645184,0.009569656540699687,30071
