model,fold,macro_f1,precision_Decline,precision_Stable,precision_Growth,recall_Decline,recall_Stable,recall_Growth,f1_Decline,f1_Stable,f1_Growth,combo_id,start_year,start_month,window_months,target_offset,n_stores
lgb,2,0.49528326209481816,0.24770642201834864,0.49789621318373073,0.7471371092541009,0.36193029490616624,0.40386803185437997,0.744372494603762,0.29411764705882354,0.44597989949748745,0.7457522397281433,sy2021_sm01_w1m_off2,2021,1,1,2,28736
lgb,3,0.48483931758609106,0.23649247121346323,0.48350877192982455,0.7425618540557469,0.3579088471849866,0.3919226393629124,0.7311131668208449,0.2848,0.4329249136035187,0.7367930391547545,sy2021_sm01_w1m_off2,2021,1,1,2,28736
lgb,4,0.49782925214632573,0.25659690627843496,0.49964961457603363,0.7426265135051227,0.3780160857908847,0.4053439454235361,0.7378161628624306,0.3056910569105691,0.4475831763967357,0.7402135231316725,sy2021_sm01_w1m_off2,2021,1,1,2,28736
rf,0,0.4904752282910673,0.31257557436517536,0.4186046511627907,0.7267836919592299,0.6594387755102041,0.29324389075227597,0.6796399258670903,0.42411812961443807,0.3448858833474218,0.7024216719113422,sy2021_sm01_w2m_off1,2021,1,2,1,33237
rf,1,0.4748624427217072,0.29957805907172996,0.4084084084084084,0.7109652720809406,0.6339285714285714,0.2606612362242453,0.6883770187979878,0.4068767908309456,0.3182217022521205,0.6994888350820554,sy2021_sm01_w2m_off1,2021,1,2,1,33237
rf,2,0.47081695654771977,0.29944547134935307,0.38092016238159676,0.7151720248166948,0.6206896551724138,0.26976521322472446,0.6714323537198835,0.40399002493765584,0.31584852734922864,0.6926123173562747,sy2021_sm01_w2m_off1,2021,1,2,1,33237
rf,3,0.48307530587692477,0.3122257053291536,0.41399000713775874,0.7099424815119145,0.6352040816326531,0.27791087685673216,0.6864406779661016,0.41866330390920553,0.33256880733944955,0.6979938063821193,sy2021_sm01_w2m_off1,2021,1,2,1,33237
rf,4,0.4807322919288977,0.30238095238095236,0.4062273714699493,0.7250418293363079,0.6479591836734694,0.268806899856253,0.6885593220338984,0.41233766233766234,0.3235294117647059,0.7063298016843249,sy2021_sm01_w2m_off1,2021,1,2,1,33237
lgb,0,0.5061400563889827,0.34649476228847703,0.41620727673649394,0.7247425549679933,0.548469387755102,0.36176329659798756,0.6894360603653693,0.4246913580246914,0.3870802358369649,0.7066485753052917,sy2021_sm01_w2m_off1,2021,1,2,1,33237
lgb,1,0.5002406318553977,0.34299516908212563,0.417980151780502,0.7113457893311671,0.5433673469387755,0.3430761859127935,0.6955255493778131,0.420533070088845,0.37684210526315787,0.7033467202141901,sy2021_sm01_w2m_off1,2021,1,2,1,33237
lgb,2,0.49955236621292193,0.335,0.41921154913936703,0.7174986286341196,0.5134099616858238,0.36176329659798756,0.6926131850675139,0.405446293494705,0.38837448559670784,0.7048363195473528,sy2021_sm01_w2m_off1,2021,1,2,1,33237
lgb,3,0.49837600630225953,0.3440438871473354,0.4155920281359906,0.705593451568895,0.5599489795918368,0.3397220891231433,0.6848516949152542,0.4262135922330097,0.37384655945162143,0.6950678672221475,sy2021_sm01_w2m_off1,2021,1,2,1,33237
lgb,4,0.4895825514349752,0.3250798722044728,0.40408163265306124,0.7135869565217391,0.5191326530612245,0.33205558217537134,0.6954449152542372,0.39980353634577603,0.3645449763282483,0.7043991416309013,sy2021_sm01_w2m_off1,2021,1,2,1,33237
rf,0,0.5019533585750636,0.19505494505494506,0.517910447761194,0.7676123685049411,0.3901098901098901,0.5441714584422374,0.669260700389105,0.2600732600732601,0.5307162885546776,0.7150705270972532,sy2021_sm01_w2m_off2,2021,1,2,2,29371
rf,1,0.5026150685566764,0.1912568306010929,0.5259067357512953,0.7674346201743462,0.3856749311294766,0.5303030303030303,0.685293299972199,0.2557077625570776,0.5280957336108221,0.7240417095021295,sy2021_sm01_w2m_off2,2021,1,2,2,29371
rf,2,0.504218572780469,0.19747899159663865,0.5188583078491336,0.7707942464040025,0.3884297520661157,0.5318704284221526,0.685293299972199,0.2618384401114206,0.5252837977296182,0.7255334805003679,sy2021_sm01_w2m_off2,2021,1,2,2,29371
rf,3,0.5115840783121404,0.21159029649595687,0.5190243902439025,0.773523685918235,0.43131868131868134,0.5561944589649764,0.6627745343341673,0.28390596745027125,0.536966944234166,0.7138793232519838,sy2021_sm01_w2m_off2,2021,1,2,2,29371
rf,4,0.5016651253894299,0.20218579234972678,0.5107231920199501,0.7644246094995218,0.4065934065934066,0.5352848928384736,0.6666666666666666,0.27007299270072993,0.5227156712608474,0.7122067122067122,sy2021_sm01_w2m_off2,2021,1,2,2,29371
lgb,0,0.49915320561245674,0.19839679358717435,0.5172583826429981,0.763142174432497,0.27197802197802196,0.548353371667538,0.7101167315175098,0.22943221320973348,0.5323521948743973,0.7356752087532393,sy2021_sm01_w2m_off2,2021,1,2,2,29371
lgb,1,0.505501789718913,0.2053742802303263,0.5277071682765633,0.7625516834022446,0.29476584022038566,0.542319749216301,0.7178204058938004,0.2420814479638009,0.5349136820407111,0.7395102391522268,sy2021_sm01_w2m_off2,2021,1,2,2,29371
lgb,2,0.4957986070012305,0.20270270270270271,0.5129265770423992,0.7521917007597896,0.2892561983471074,0.5182863113897597,0.7155963302752294,0.2383654937570942,0.5155925155925156,0.7334378116540817,sy2021_sm01_w2m_off2,2021,1,2,2,29371
lgb,3,0.5166890796465841,0.22163120567375885,0.5320829220138203,0.7682704019488429,0.3434065934065934,0.5635128071092524,0.7014178482068391,0.26939655172413796,0.5473470423965473,0.733323644819067,sy2021_sm01_w2m_off2,2021,1,2,2,29371
lgb,4,0.506816458083041,0.22504892367906065,0.517557251908397,0.7545615067686875,0.3159340659340659,0.5316257187663356,0.7128162357520156,0.26285714285714284,0.5244971634863331,0.7330950679056469,sy2021_sm01_w2m_off2,2021,1,2,2,29371
rf,0,0.4931569223955423,0.22866174920969443,0.5210727969348659,0.7106032420940739,0.4165067178502879,0.44810543657331137,0.6943650999740327,0.29523809523809524,0.4818423383525244,0.7023903335960073,sy2021_sm01_w3m_off1,2021,1,3,1,33998
